"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Feb-2022","EQ","187.99","187.99","184.58","185.27","185.07","185.05","185.68","223.00","132.00","1,460,494","271,186,205.14","17,950"
"22-Feb-2022","EQ","186.00","186.00","182.69","186.29","185.52","185.27","184.02","223.00","132.00","4,189,474","770,966,670.02","44,821"
"21-Feb-2022","EQ","190.00","190.00","184.69","186.64","186.40","186.29","186.12","223.00","132.00","2,084,966","388,057,244.97","29,820"
"18-Feb-2022","EQ","183.30","190.00","183.30","186.93","186.72","186.64","186.88","223.00","132.00","1,659,566","310,136,997.54","17,116"
"17-Feb-2022","EQ","190.00","190.00","186.17","187.14","186.75","186.93","187.41","223.00","132.00","1,415,247","265,236,860.72","18,142"
"16-Feb-2022","EQ","190.00","190.00","186.45","187.59","187.10","187.14","187.78","223.00","132.00","2,043,037","383,647,420.68","22,799"
"15-Feb-2022","EQ","185.00","187.88","182.59","182.59","187.64","187.59","185.05","223.00","132.00","2,687,788","497,368,714.02","35,396"
"14-Feb-2022","EQ","187.50","187.50","182.30","188.00","182.47","182.59","183.78","223.00","132.00","7,366,629","1,353,848,176.61","88,781"
"11-Feb-2022","EQ","192.50","192.50","187.00","190.11","187.75","188.00","187.71","223.00","132.00","2,152,018","403,947,388.94","25,932"
"10-Feb-2022","EQ","191.50","191.50","188.50","189.03","189.88","190.11","189.67","223.00","132.00","3,300,794","626,063,160.98","21,036"
"09-Feb-2022","EQ","199.85","199.85","187.10","186.81","189.19","189.03","188.48","223.00","132.00","1,253,049","236,172,074.16","16,794"
"08-Feb-2022","EQ","190.00","190.00","184.50","186.34","186.70","186.81","185.94","223.00","132.00","2,401,848","446,590,062.14","33,878"
"07-Feb-2022","EQ","193.00","193.00","185.39","189.59","186.40","186.34","187.14","223.00","132.00","3,745,509","700,916,450.74","57,807"
"04-Feb-2022","EQ","193.00","193.00","189.01","190.01","189.45","189.59","189.72","223.00","132.00","3,276,311","621,574,318.49","27,626"
"03-Feb-2022","EQ","195.00","195.00","189.60","192.12","189.71","190.01","190.88","223.00","132.00","2,498,448","476,904,239.76","24,687"
"02-Feb-2022","EQ","194.00","194.00","189.70","189.70","192.24","192.12","191.57","223.00","132.00","2,272,990","435,443,997.13","25,976"
"01-Feb-2022","EQ","190.80","190.80","178.11","187.63","189.99","189.70","189.29","223.00","132.00","4,046,199","765,897,187.66","36,635"
"31-Jan-2022","EQ","199.88","199.88","185.25","185.10","187.75","187.63","187.58","223.00","132.00","2,238,333","419,871,780.40","29,907"
"28-Jan-2022","EQ","187.75","188.06","184.80","185.33","185.30","185.10","186.70","223.00","132.00","2,774,965","518,075,666.08","28,874"
"27-Jan-2022","EQ","194.00","194.00","182.70","187.07","185.78","185.33","184.06","223.00","132.00","5,945,584","1,094,331,199.86","51,850"
"25-Jan-2022","EQ","185.49","187.38","183.05","185.79","187.25","187.07","185.04","223.00","132.00","5,883,754","1,088,755,552.57","46,580"
"24-Jan-2022","EQ","196.80","196.80","184.05","190.64","185.55","185.79","186.59","223.00","132.00","9,706,128","1,811,069,448.56","89,363"
"21-Jan-2022","EQ","191.99","191.99","189.22","192.18","191.13","190.64","190.51","223.00","132.00","3,135,380","597,334,039.62","35,386"
"20-Jan-2022","EQ","195.80","195.80","191.10","194.18","192.44","192.18","192.25","223.00","132.00","3,125,434","600,879,875.65","39,900"
"19-Jan-2022","EQ","221.40","221.40","193.00","195.97","194.39","194.18","194.24","223.00","132.00","1,947,061","378,193,391.33","27,425"
"18-Jan-2022","EQ","199.00","199.00","195.60","198.03","196.20","195.97","197.08","223.00","132.00","1,936,923","381,725,678.68","30,979"
"17-Jan-2022","EQ","223.00","223.00","195.70","197.36","198.18","198.03","197.65","223.00","132.00","1,655,939","327,298,863.37","30,013"
"14-Jan-2022","EQ","199.85","199.85","195.50","197.00","197.02","197.36","196.65","221.70","132.00","1,926,983","378,931,914.51","20,184"
"13-Jan-2022","EQ","198.80","198.80","195.80","196.20","197.16","197.00","196.67","221.70","132.00","1,965,999","386,658,330.27","18,498"
"12-Jan-2022","EQ","197.50","197.50","195.05","194.69","196.15","196.20","195.94","221.70","132.00","1,506,313","295,149,690.24","21,327"
"11-Jan-2022","EQ","196.00","196.00","193.25","194.35","194.70","194.69","194.52","221.70","132.00","1,055,181","205,256,961.08","19,740"
"10-Jan-2022","EQ","193.70","194.50","192.45","192.42","194.46","194.35","193.94","221.70","132.00","2,125,975","412,306,558.74","36,204"
"07-Jan-2022","EQ","194.00","194.00","191.40","191.92","192.60","192.42","192.51","221.70","132.00","1,164,892","224,253,176.58","23,244"
"06-Jan-2022","EQ","193.00","193.00","190.75","193.34","191.98","191.92","191.46","221.70","132.00","2,295,715","439,533,396.78","30,162"
"05-Jan-2022","EQ","195.00","195.00","191.30","192.46","193.30","193.34","192.86","221.70","132.00","1,532,485","295,558,004.42","28,242"
"04-Jan-2022","EQ","198.91","198.91","189.20","190.72","192.50","192.46","191.58","221.70","132.00","1,985,741","380,438,079.16","32,097"
"03-Jan-2022","EQ","190.00","190.95","185.30","187.79","190.95","190.72","189.74","221.70","132.00","2,595,035","492,391,979.12","68,868"
